"id","listing_url","name","booked_out_30","estimated_revenue_30"
777178034145631344,"https://www.airbnb.com/rooms/777178034145631344","Flat with Rainbow Themed Design in Goztepe",30,53796240.00
697075774701452811,"https://www.airbnb.com/rooms/697075774701452811","Luxurious double floor apartment 5bedroom in centr",30,44404380.00
31819664,"https://www.airbnb.com/rooms/31819664","new, cosy, closed to metro station, boat piere,",30,42768870.00
706146072117425595,"https://www.airbnb.com/rooms/706146072117425595","Cihangir No 4 A",20,29995880.00
53825938,"https://www.airbnb.com/rooms/53825938","PERA flower house",16,24052800.00
717380054204166419,"https://www.airbnb.com/rooms/717380054204166419","Kadıköy merkezde daire",30,18020910.00
664171165880337987,"https://www.airbnb.com/rooms/664171165880337987","KİNG SUİTE EXTRA LARGE LUXURIOUS SUITE",18,15200406.00
682582545991588624,"https://www.airbnb.com/rooms/682582545991588624","Taksim No1 P",12,12857304.00
663453599878974825,"https://www.airbnb.com/rooms/663453599878974825","Kadıköy'de huzurlu bir ev",30,12361590.00
734645456874046911,"https://www.airbnb.com/rooms/734645456874046911","Lüks eşyalı daire",21,12165006.00
50573658,"https://www.airbnb.com/rooms/50573658","Deluxe  balcony apartment/Nice location",22,10094194.00
653600312932011112,"https://www.airbnb.com/rooms/653600312932011112","Cozy 1+1 , Redecorated,  5 min. to İstiklal Street",9,9910395.00
43800385,"https://www.airbnb.com/rooms/43800385","İstanbul Levent'te Kanyon AVM' ye 50 mt Mesafede",30,9545130.00
19787670,"https://www.airbnb.com/rooms/19787670","Room in a historical building in Taksim - Cihangir",30,9009900.00
22271972,"https://www.airbnb.com/rooms/22271972","room in a historical building in Taksim - Cihangir",30,9009900.00
755859961824227485,"https://www.airbnb.com/rooms/755859961824227485","Kadıköy,Fenerbahce's Most Beautiful Location House",30,8590710.00
50208343,"https://www.airbnb.com/rooms/50208343","Air Conditioned Room, next to Cevahir and Subway",30,8408700.00
658605557759263055,"https://www.airbnb.com/rooms/658605557759263055","Eva's home. Room:)",30,7808400.00
32456634,"https://www.airbnb.com/rooms/32456634","Sunny, central Apartmant  in Beyoglu-Cihangir",30,7312410.00
665128522123811124,"https://www.airbnb.com/rooms/665128522123811124","Private room in a shared apartment (1 p or couple)",30,6914400.00
